idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
202,0.01759104191459645,0.013871996561736773,2.819700393404437e-06,1674.8903791356977
203,0.017549683588567254,0.014045621735115511,2.795393152213803e-06,1676.8831827481636
204,0.017487112922219637,0.012122782017476616,1.8855715226701191e-06,1678.8782214055802
205,0.017942714756546314,0.019474187876833637,2.2866229540132818e-06,1680.874235495823
206,0.018015159374716923,0.012211052739438545,2.559999188081137e-06,1682.870013864376
207,0.017190097177552575,0.015512836979579317,2.194806855607243e-06,1684.8643983787488
208,0.018066584661531493,0.016476719196486033,1.9695710088198233e-06,1686.8562954554814
209,0.018063648035203706,0.015293517362840707,1.6228505474050046e-06,1688.8446894200192
210,0.018007194136501394,0.017129062115212073,1.7379444804422549e-06,1690.8286572671502
211,0.017529150544208238,0.01827957765278332,1.7939685656146549e-06,1692.80738137374
212,0.017847124979297864,0.02300434129938403,2.3759616551602545e-06,1694.7801497924916
213,0.017576563997367307,0.01662597558102148,1.3702892877074413e-06,1696.7463792013014
214,0.018038459302869847,0.0147568014220106,2.1183612340024404e-06,1698.7056211526583
215,0.018045555243328175,0.02419445403199591,1.561885524548315e-06,1700.6575675962665
216,0.018398761250012233,0.017827210021434104,2.4608910856922053e-06,1702.6020557847746
217,0.018172688826948016,0.015449957815663948,2.0095434766299114e-06,1704.5390714455057
218,0.01840442870775478,0.013921230958204323,2.3384658037960147e-06,1706.4687501545125
219,0.018828856533855118,0.017417595053786584,2.299153793996681e-06,1708.3913769808992
220,0.018569538414675728,0.014439046837735652,1.5603102651086944e-06,1710.3073845789468
221,0.018574106924185613,0.01643133126501842,2.810484861362568e-06,1712.217350074292
222,0.01833167925732762,0.01979551425726091,1.9428370270687893e-06,1714.1219915163304
223,0.01792599669761081,0.011417871750882352,2.062257734082299e-06,1716.022169683179
224,0.017768285374743842,0.014112490633964346,1.757797736883207e-06,1717.918878239155
225,0.018329639262056413,0.015242609345770307,1.95149798712267e-06,1719.8132494745817
226,0.0191159475468016,0.015128501836084352,1.7685493305161775e-06,1721.706594305471
227,0.017798574769313444,0.017473675980658264,2.8313208214112768e-06,1723.6004813201364
228,0.018439994569945356,0.021625303345082128,1.8323823243763108e-06,1725.4969870436425
229,0.018554599779882202,0.01902680477426665,1.7169054734753086e-06,1727.3995523766296
230,0.01788111077639239,0.016686277011509116,2.315356509221569e-06,1729.3166499426593
231,0.018722028244559114,0.016546265200192933,2.402736215594673e-06,1731.2786769481331
232,0.018199767573615164,0.01968311679482506,1.83669743707828e-06,1733.3365217724083
233,0.01822924393981482,0.020905621621844457,2.6640465792670385e-06,1735.4530631103735
234,0.01729627179830009,0.013975280653902555,2.1175167213919074e-06,1737.5865995366403
235,0.0178589700354609,0.019383166771131173,1.8941287326727983e-06,1739.7254468146825
236,0.018399569391224495,0.015358778821045917,1.8045673723160052e-06,1741.865602074124
237,0.018222791743372355,0.019191876673566505,1.8270942677806932e-06,1744.0050147423149
238,0.017997958916953456,0.019002384257528305,1.851514952053844e-06,1746.142331784559
239,0.018879574569634735,0.024679071641318877,2.211493689820616e-06,1748.276547730515
240,0.017939192271031332,0.017582598307459875,2.1811827303689788e-06,1750.4068876719455
241,0.017883930329501592,0.0247255915926221,2.705493826989097e-06,1752.532763845999
242,0.018697748906247615,0.018241647837990708,2.5222432735553406e-06,1754.6537588837189
243,0.01816800636008383,0.01801156908263332,1.6341249987716892e-06,1756.769619451664
244,0.018031022679616662,0.01717654228510752,1.9661477735489863e-06,1758.8802539136036
245,0.018624676248657494,0.014602448089291236,1.8231761823059641e-06,1760.9857313102004
246,0.018136241682127983,0.02543052769829804,1.6711337856151198e-06,1763.0862804792998
247,0.017222965904682926,0.017860167593010845,2.3084839809340786e-06,1765.1822888728743
248,0.01819444538121376,0.01930526708752384,2.532739261140904e-06,1767.274301176985
249,0.018639337455367413,0.013834064522854616,2.1699708250438152e-06,1769.3630222286604
250,0.01822262828580529,0.0201045757616793,2.4373466095968007e-06,1771.4493179582896
251,0.016797654610182993,0.018533366215456745,2.489673115900588e-06,1773.5341748305364
252,0.018564878825769866,0.01972929882490116,2.5718415380771763e-06,1775.6187413626294
253,0.018226462313038542,0.01586216154128588,2.1795306862507376e-06,1777.7043168677721
254,0.018505971906025945,0.01854677861061809,1.9879886007475697e-06,1779.7923459852268
255,0.018511454379735767,0.021316436773052314,1.974074900902636e-06,1781.8844116342425
256,0.018789025271800867,0.01882547871980275,1.822662259654302e-06,1783.982217776864
257,0.018876016911295427,0.026000765902124762,2.188681153392389e-06,1786.0875509834718
258,0.018353604993942715,0.016916302803539365,2.302679968244337e-06,1788.20220480042
259,0.01924129178023596,0.023181409984389834,2.630290696416995e-06,1790.3278497576998
260,0.01836524674962449,0.017264083651730742,1.9903927652310273e-06,1792.465843211535
261,0.018532806909948355,0.019179704844088964,1.9716639387474638e-06,1794.6170050092687
262,0.017637117082645763,0.017755595319208683,1.8472921761108407e-06,1796.7814289264745
263,0.018475452989051646,0.01772043996549117,1.7751568086859616e-06,1798.9584196967376
264,0.018011772859485683,0.02138142905129071,2.0146660447417514e-06,1801.1466037529754
265,0.01909682428840815,0.014634732486340625,2.21201195497586e-06,1803.3441762571606
266,0.018510833983797416,0.020955810721216148,2.7730863740354933e-06,1805.5491850076962
267,0.01888324189725759,0.01626447894898681,1.6339880545300692e-06,1807.7597522203218
268,0.018404535613112755,0.0189668152757606,1.8691358356825232e-06,1809.9742272542019
269,0.018824908543127534,0.01741933794107564,2.0614293039380424e-06,1812.1912602821703
270,0.018815553502302084,0.0195294951929122,2.2635045060476956e-06,1814.409812914097
271,0.019267776026962277,0.03021472897764067,1.8346200336192843e-06,1816.6291434722373
272,0.01850816562424176,0.023270381730673938,1.8446582665682027e-06,1818.8487823452226
273,0.018404271258483224,0.028107109446328403,2.3947084775607285e-06,1821.0685067080472
274,0.018392184690088745,0.017587648413439388,2.213599588238877e-06,1823.2883186151587
275,0.01880163729784614,0.020161027150432484,2.3867445667678977e-06,1825.5084186629445
276,0.01846658530809338,0.01554384348862111,2.528750377089074e-06,1827.7291961038854
277,0.019255474246618286,0.021865747354624446,2.423818691245475e-06,1829.95123428735
278,0.01930560345849208,0.016607298872506122,1.8241977899632856e-06,1832.1753252601761
279,0.018983039253322564,0.01770195287029032,2.1638502229719434e-06,1834.4025147899947
280,0.019679289852963952,0.023856724084279825,1.8212264856404406e-06,1836.634204315912
281,0.019405714162640097,0.029601976667815742,2.6320254955081937e-06,1838.8723603992416
282,0.01788658817708118,0.014748279606893096,2.5535714727808245e-06,1841.1199043163172
283,0.01831693006042118,0.02085736365519872,2.3326803520820157e-06,1843.3812372295517
284,0.018628585321332082,0.017057792376171242,2.431175507084837e-06,1845.6620883851726
285,0.01970646419401111,0.013355542204547061,2.6327371390120088e-06,1847.9666537072553
286,0.018153989417758594,0.018267111404207715,1.9815056865920088e-06,1850.2932684235693
287,0.01836832398872368,0.01711790320571075,2.323388584858318e-06,1852.635974927513
288,0.018967925206944094,0.019896189705665653,2.0841070972119902e-06,1854.989054022546
289,0.018370871153917955,0.021806003018686956,2.940647577520904e-06,1857.3486318908117
290,0.018690851592000023,0.023963413678258525,2.792947802445088e-06,1859.7122826965694
291,0.018718440817690144,0.019953975935509908,2.479704680406159e-06,1862.0784496767287
292,0.018271909372631703,0.015604068549481986,1.5463601503699014e-06,1864.4460901604966
293,0.018508200860589637,0.013264173876035906,2.084595404534413e-06,1866.8144896419258
294,0.018504027064008964,0.019070523476164874,2.2549711314619574e-06,1869.1831665170246
295,0.018374296066156003,0.020591998580653685,2.487928582980025e-06,1871.5518222959145
296,0.018624164533588717,0.026864050602498767,2.3783765276357885e-06,1873.9203146777186
297,0.018745428918991655,0.024064420776847045,2.0469262917864667e-06,1876.288642473649
298,0.01851318390748726,0.0306809812132054,2.6637488906114495e-06,1878.6569371558178
299,0.01810961076501798,0.01918980698769274,2.128477907999207e-06,1881.0254589364333
300,0.018711563742930353,0.02850519539727862,2.5671224812978067e-06,1883.3945974833644
301,0.018537299992672947,0.013867398583007515,1.899927959390572e-06,1885.7648801886048
302,0.018435420351616237,0.019104147755837027,2.605438794356581e-06,1888.1369972949271
303,0.018981867652111545,0.024030058884065796,2.6105570613687757e-06,1890.5118372371237
304,0.018319430730875254,0.015744130208580585,2.1605944207555286e-06,1892.8905741828921
305,0.01869536370963528,0.022049453263827918,2.351627710062486e-06,1895.2749202530874
306,0.01856242060067431,0.02307910444910061,1.9585625869631233e-06,1897.6676223360225
307,0.019095780319215896,0.018340135117208018,2.794340574605969e-06,1900.0733831332752
308,0.018838940776626383,0.020182312261044503,2.9659065905699696e-06,1902.499255655586
309,0.018069013264112067,0.021189549153940647,2.248572222445817e-06,1904.9504767622939
310,0.017759956364353603,0.02193734733389965,2.65479173396275e-06,1907.4240070739659
311,0.01837558410918091,0.022174728782907292,1.7844143880057504e-06,1909.9125453080142
312,0.018626940411673995,0.021617261467703427,2.4011218963783946e-06,1912.4106171187839
313,0.019478884531451728,0.016430253620636114,1.9165998574689875e-06,1914.9150503164185
314,0.01864999762122407,0.02168751649467776,1.819035947492244e-06,1917.4239712535825
315,0.018889509222803157,0.017693602082643256,2.340248191533149e-06,1919.9361676854196
316,0.018191972077823065,0.017445853880284603,2.219584667677772e-06,1922.4507914282456
317,0.019556672590416307,0.019977201797953963,3.1710916357603377e-06,1924.9672241468668
318,0.018680653748781632,0.02410375583406441,2.439505114091065e-06,1927.4850151327873
319,0.019138565394066203,0.02732806273821489,2.4728124719534426e-06,1930.0038513460458
320,0.018845753582611622,0.01831433050764072,2.8904762031803865e-06,1932.5235423777915
321,0.019164840231557335,0.02446419545441469,2.4364324394761923e-06,1935.0440124697986
322,0.01911477460545086,0.020946645118187293,2.5778775445984616e-06,1937.5652959209935
323,0.019345253089305545,0.02357415369812519,2.4112384793755814e-06,1940.087534231812
324,0.01922356004732516,0.024301200472407206,2.8577598317116598e-06,1942.6109744810594
325,0.020189077776264764,0.022699042279096995,2.3560709806045164e-06,1945.1359693426364
326,0.01929621895534192,0.02499846860027182,2.6622511356108524e-06,1947.6629804298304
327,0.01834944096061607,0.020335482795028188,1.7731685152457148e-06,1950.1925899266416
328,0.019234471734007195,0.035619280065356085,2.3044792021391703e-06,1952.7255259248736
329,0.01959221958780694,0.02280226662803787,2.358468914179653e-06,1955.262692261322
330,0.018300305511669168,0.02108341179445434,2.4218494353961244e-06,1957.8052990759072
331,0.019070923079708334,0.020492902819983977,2.329772175586967e-06,1960.3551479810874
332,0.018954796020246818,0.02315828376370937,2.242738601756773e-06,1962.9152519187576
333,0.019990115842417923,0.02272885710365414,2.026050931746966e-06,1965.4908875270246
334,0.01939305888966086,0.01951634826862966,2.749082998504449e-06,1968.089073601984
335,0.018922789739701778,0.0275500886017997,2.1162570863937775e-06,1970.712029769967
336,0.019238168101076324,0.017457294047473405,2.683587025678508e-06,1973.3537031699323
337,0.019159222727373817,0.02708909501878934,1.8614459071724712e-06,1976.0072306189838
338,0.01820219230937525,0.01597585972485508,2.2743140305489174e-06,1978.6685040381856
339,0.0187283627741072,0.019754778042506325,2.1884878286279227e-06,1981.3352875811972
340,0.01804622456022995,0.02138120386898298,2.2454222287028462e-06,1984.006266455609
