material   : carbon-chain
h5path     : /scratch/yimili/matrices/hdf5/carbon-chain.h5
block size : 104
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
 165  1.699713e-02  2.213588e-02  2.053835e-06  1.608645e+03
 166  1.678834e-02  1.895749e-02  2.606208e-06  1.610321e+03
 167  1.752267e-02  1.398971e-02  1.515033e-06  1.612001e+03
 168  1.714403e-02  1.265686e-02  2.304529e-06  1.613689e+03
 169  1.718802e-02  1.382856e-02  1.890990e-06  1.615384e+03
 170  1.686585e-02  1.270943e-02  2.537688e-06  1.617090e+03
 171  1.745963e-02  1.863715e-02  1.950258e-06  1.618808e+03
 172  1.685724e-02  1.355356e-02  1.875030e-06  1.620539e+03
 173  1.804395e-02  1.543101e-02  2.035293e-06  1.622286e+03
 174  1.816681e-02  1.655323e-02  2.186508e-06  1.624047e+03
 175  1.767855e-02  1.612471e-02  2.151056e-06  1.625823e+03
 176  1.671262e-02  1.414845e-02  3.068753e-06  1.627611e+03
 177  1.840993e-02  1.327393e-02  1.967705e-06  1.629410e+03
 178  1.734236e-02  1.767514e-02  1.921372e-06  1.631217e+03
 179  1.751528e-02  1.608912e-02  1.447946e-06  1.633030e+03
 180  1.763456e-02  1.608423e-02  2.248454e-06  1.634845e+03
 181  1.769711e-02  1.323353e-02  2.581865e-06  1.636663e+03
 182  1.731097e-02  1.692351e-02  1.840742e-06  1.638480e+03
 183  1.742925e-02  1.156000e-02  2.615019e-06  1.640297e+03
 184  1.829270e-02  1.544827e-02  2.068396e-06  1.642111e+03
 185  1.857206e-02  1.702273e-02  2.259003e-06  1.643922e+03
 186  1.751006e-02  1.555736e-02  2.135518e-06  1.645729e+03
 187  1.873508e-02  1.907693e-02  2.058081e-06  1.647532e+03
 188  1.775776e-02  1.517905e-02  2.498607e-06  1.649330e+03
 189  1.800574e-02  1.588512e-02  1.768956e-06  1.651123e+03
 190  1.725518e-02  1.220863e-02  2.474006e-06  1.652911e+03
 191  1.811698e-02  2.039602e-02  1.359521e-06  1.654694e+03
 192  1.782727e-02  1.940674e-02  2.857861e-06  1.656474e+03
 193  1.850497e-02  2.373099e-02  2.001492e-06  1.658249e+03
 194  1.760175e-02  1.701819e-02  1.794517e-06  1.660020e+03
 195  1.789901e-02  1.611947e-02  2.178694e-06  1.661789e+03
 196  1.809535e-02  1.509115e-02  2.176500e-06  1.663556e+03
 197  1.790408e-02  1.825378e-02  1.224562e-06  1.665322e+03
 198  1.768463e-02  1.772926e-02  2.011116e-06  1.667090e+03
 199  1.828486e-02  1.834629e-02  1.876417e-06  1.668943e+03
 200  1.806204e-02  1.293066e-02  1.878428e-06  1.670917e+03
 201  1.857399e-02  1.231155e-02  2.635537e-06  1.672901e+03
 202  1.759104e-02  1.387200e-02  2.819700e-06  1.674890e+03
 203  1.754968e-02  1.404562e-02  2.795393e-06  1.676883e+03
 204  1.748711e-02  1.212278e-02  1.885572e-06  1.678878e+03
 205  1.794271e-02  1.947419e-02  2.286623e-06  1.680874e+03
 206  1.801516e-02  1.221105e-02  2.559999e-06  1.682870e+03
 207  1.719010e-02  1.551284e-02  2.194807e-06  1.684864e+03
 208  1.806658e-02  1.647672e-02  1.969571e-06  1.686856e+03
 209  1.806365e-02  1.529352e-02  1.622851e-06  1.688845e+03
 210  1.800719e-02  1.712906e-02  1.737944e-06  1.690829e+03
 211  1.752915e-02  1.827958e-02  1.793969e-06  1.692807e+03
 212  1.784712e-02  2.300434e-02  2.375962e-06  1.694780e+03
 213  1.757656e-02  1.662598e-02  1.370289e-06  1.696746e+03
 214  1.803846e-02  1.475680e-02  2.118361e-06  1.698706e+03
 215  1.804556e-02  2.419445e-02  1.561886e-06  1.700658e+03
 216  1.839876e-02  1.782721e-02  2.460891e-06  1.702602e+03
 217  1.817269e-02  1.544996e-02  2.009543e-06  1.704539e+03
 218  1.840443e-02  1.392123e-02  2.338466e-06  1.706469e+03
